,precision,recall,f1-score,support
Insufficient_Weight,0.8727272727272727,0.9056603773584906,0.8888888888888888,53.0
Normal_Weight,0.6507936507936508,0.7192982456140351,0.6833333333333333,57.0
Obesity_Type_I,0.8450704225352113,0.8571428571428571,0.851063829787234,70.0
Obesity_Type_II,0.9193548387096774,0.95,0.9344262295081968,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
Overweight_Level_I,0.8163265306122449,0.7272727272727273,0.7692307692307693,55.0
Overweight_Level_II,0.7962962962962963,0.7413793103448276,0.7678571428571429,58.0
accuracy,0.8444976076555024,0.8444976076555024,0.8444976076555024,0.8444976076555024
macro avg,0.8429384302391932,0.8407669860497603,0.8410068936601528,418.0
weighted avg,0.8462898273174345,0.8444976076555024,0.84459493682087,418.0
