feature,importance
num__BMI,0.20372389026022447
cat__BMI_Class_Obesity_I,0.08421744580015056
num__Weight,0.083548633642232
cat__BMI_Class_Overweight,0.07186952706991412
cat__BMI_Class_Normal,0.0717768141464458
cat__BMI_Class_Underweight,0.06047437664317015
cat__BMI_Class_Obesity_III,0.04219982905381048
cat__BMI_Class_Obesity_II,0.03896065233444684
cat__Weight_Class_Acima_100kg,0.036254133027070645
num__FCVC,0.03138817798484973
num__Height,0.027450117403001056
cat__Gender_Male,0.026549065317026728
cat__Gender_Female,0.02578596240501694
cat__Weight_Class_Ate_60kg,0.024063478121290473
num__Age,0.02284952061250291
cat__Weight_Class_80_100kg,0.016351872011577458
cat__Weight_Class_60_80kg,0.014204484945574641
num__NCP,0.013022589494858674
num__FAF,0.011038372706974596
num__TUE,0.009026974635083923
num__CH2O,0.008582140088412458
cat__CALC_Sometimes,0.007054975347089289
cat__CALC_no,0.007052749299148634
cat__family_history_yes,0.006409145540640774
cat__family_history_no,0.006362346875109714
cat__FAVC_no,0.004607993655544638
cat__FAVC_yes,0.0046022581942427015
cat__Faixa_Etaria_26_35,0.003718638281211744
cat__CAEC_Frequently,0.003710250270507476
cat__CAEC_Sometimes,0.0036571458851076557
num__Healthy_Score,0.003260092743233405
cat__Faixa_Etaria_19_25,0.0031632195636982917
cat__MTRANS_Public_Transportation,0.003112736078006095
num__Healthy_Diet,0.003019145434885734
cat__MTRANS_Automobile,0.002922206907284442
num__Active_Lifestyle,0.002494613999856857
cat__Faixa_Etaria_Ate_18,0.001966711495189307
num__Good_Hydration,0.0015819015867379323
cat__SCC_yes,0.0013954546336775947
cat__Faixa_Etaria_36_50,0.0013568049128345164
cat__SCC_no,0.0013439384836414657
num__High_Screen_Time,0.0007555492935751245
cat__CAEC_Always,0.000670166268520359
cat__CALC_Frequently,0.0006655774996047962
cat__MTRANS_Walking,0.0004901546098888914
cat__SMOKE_yes,0.0003790464446191732
cat__SMOKE_no,0.00033414304237399436
cat__CAEC_no,0.0002742745019214285
cat__Faixa_Etaria_Acima_50,0.00021471413727181394
cat__MTRANS_Bike,4.166579288301944e-05
cat__MTRANS_Motorbike,3.187225054845984e-05
cat__CALC_Always,1.2449267509975875e-05
