feature,importance_mean,importance_std
Gender,0.2545140548114586,0.011828521151864039
Age,0.22398866600198725,0.01411729284079759
family_history,0.1478165482761507,0.010203136128463686
FCVC,0.13214231070705323,0.024820518775882337
CALC,0.09685443527869057,0.010270587707451918
NCP,0.06881366051739084,0.01025655271389718
CH2O,0.06404530823010313,0.013515301741931255
CAEC,0.061556745921456504,0.006636291053823894
FAF,0.04551890366292024,0.010967079741461265
TUE,0.03443175546896147,0.010847874629772759
MTRANS,0.03093379453109868,0.006260917322396472
FAVC,0.026739989030341627,0.008872939674480981
SCC,0.0038186904899236264,0.001163513522797345
SMOKE,0.0,0.0
